No.,player_id,Firstname,Surname,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_name,npg,npxG,xGChain,xGBuildup,year
538,101,Alexandre,Lacazette,Alexandre Lacazette,31,1939,13,12.02890942,2,2.209213115,45,22,3,0,F M S,Arsenal,10,9.745402876,14.36154239,2.937940784,2020
539,76,Alexandre,Lacazette,Alexandre Lacazette,30,1890,10,8.664648203,4,3.342290916,52,24,8,0,F S,Arsenal,10,8.664648203,12.06130165,2.505634623,2019
540,87,Alexandre,Lacazette,Alexandre Lacazette,35,2498,13,12.03369122,8,4.100151716,81,31,2,0,F S,Arsenal,13,12.03369122,22.07583812,8.813803712,2018
541,461,Adam,Lallana,Adam Lallana,30,1572,1,1.614305904,1,2.628757566,22,25,0,0,F M S,Brighton,1,1.614305904,9.719970118,5.874304872,2020
542,708,Adam,Lallana,Adam Lallana,15,362,1,0.808685023,1,0.653671555,5,4,1,0,M S,Liverpool,1,0.808685023,3.720507052,2.313550264,2019
543,875,Adam,Lallana,Adam Lallana,13,459,0,0.303701796,0,0.541039057,5,9,1,0,F M S,Liverpool,0,0.303701796,1.740591049,1.262022514,2018
544,5073,Erik,Lamela,Erik Lamela,23,683,1,1.289412983,0,0.805831972,21,8,4,1,F M S,Tottenham,1,1.289412983,4.192472446,2.828797733,2020
545,6143,Erik,Lamela,Erik Lamela,25,1190,2,2.30997267,1,1.011313845,29,18,3,0,F M S,Tottenham,2,2.30997267,6.637918632,4.436078742,2019
546,8016,Erik,Lamela,Erik Lamela,19,969,4,3.764035584,2,2.165191598,29,23,2,0,M S,Tottenham,4,3.764035584,8.188834079,3.967588993,2018
547,727,Tariq,Lamptey,Tariq Lamptey,11,904,1,0.703003909,1,0.808980972,6,10,2,1,D M,Brighton,1,0.703003909,4.568889327,3.691588268,2020
548,766,Tariq,Lamptey,Tariq Lamptey,8,598,0,0.071200705,1,1.079890899,2,6,2,0,D M S,Brighton,0,0.071200705,1.10844595,0.595980626,2019
549,6062,Tariq,Lamptey,Tariq Lamptey,1,26,0,0,0,0.06915585,0,1,0,0,S,Chelsea,0,0,0.06915585,0,2019
550,6352,Henri,Lansbury,Henri Lansbury,10,186,0,0.053228952,0,0.06579376,2,2,0,0,M S,Aston Villa,0,0.053228952,0.461824574,0.361035347,2019
551,7078,Manuel,Lanzini,Manuel Lanzini,17,548,1,0.971056749,1,1.001792194,12,11,1,0,M S,West Ham,1,0.971056749,3.232661293,1.579504919,2020
552,47,Manuel,Lanzini,Manuel Lanzini,24,1372,0,2.141773476,2,2.079108534,23,31,1,0,F M S,West Ham,0,2.141773476,5.773349335,3.432397785,2019
553,537,Manuel,Lanzini,Manuel Lanzini,10,693,1,1.183907427,1,0.958036063,11,5,2,0,M S,West Ham,1,1.183907427,3.11626298,2.155222311,2018
554,641,Aymeric,Laporte,Aymeric Laporte,16,1335,0,0.842339948,0,0.577895381,6,5,1,0,D S,Manchester City,0,0.842339948,6.243810184,6.243810184,2020
555,723,Aymeric,Laporte,Aymeric Laporte,15,1112,1,0.719227731,0,0.17903731,4,3,1,0,D S,Manchester City,1,0.719227731,7.432042468,7.252388287,2019
556,853,Aymeric,Laporte,Aymeric Laporte,35,3059,3,3.752195829,3,0.839077218,26,13,3,0,D S,Manchester City,3,3.752195829,22.07323552,21.05890275,2018
557,914,Jamaal,Lascelles,Jamaal Lascelles,19,1633,2,0.765354833,0,0.066882778,16,2,4,0,D,Newcastle United,2,0.765354833,2.606449857,2.349907726,2020
558,1545,Jamaal,Lascelles,Jamaal Lascelles,24,2084,1,0.441191585,0,0.14197477,9,2,5,0,D,Newcastle United,1,0.441191585,2.998541767,2.853571115,2019
559,1719,Jamaal,Lascelles,Jamaal Lascelles,32,2751,0,0.399588386,1,1.203509908,11,3,4,0,D,Newcastle United,0,0.399588386,3.302878669,3.293871334,2018
560,2344,Valentino,Lazaro,Valentino Lazaro,13,455,1,0.493495911,0,0.177998118,4,6,0,1,D M S,Newcastle United,1,0.493495911,1.674845499,1.188800973,2019
561,7602,Moritz,Leitner,Moritz Leitner,9,689,0,0.217812099,0,0.363968546,8,7,1,0,M S,Norwich,0,0.217812099,4.27574962,3.830889788,2019
562,318,Florian,Lejeune,Florian Lejeune,6,442,2,0.381147097,0,0.051249225,4,1,0,0,D S,Newcastle United,2,0.381147097,0.268942289,0.206484098,2019
