Pos,Player,Team,Points,Cost
MID,Neves,Wolves,104,5.50
MID,Podence,Wolves,75,5.50
MID,Xhaka,Arsenal,70,5.00
MID,Partey,Arsenal,47,5.00
MID,Hourihane,Aston Villa,0,5.00
MID,Sanson,Aston Villa,10,5.00
MID,Alzate,Brighton,35,5.00
MID,Kovacic,Chelsea,54,5.00
MID,Kanté,Chelsea,62,5.00
MID,Riedewald,Crystal Palace,64,5.00
MID,André Gomes,Everton,48,5.00
MID,Phillips,Leeds,67,5.00
MID,Roberts,Leeds,49,5.00
MID,Praet,Leicester,37,5.00
MID,Ndidi,Leicester,79,5.00
MID,Milner,Liverpool,44,5.00
MID,Henderson,Liverpool,56,5.00
MID,Keita,Liverpool,15,5.00
MID,Jones,Liverpool,50,5.00
MID,Fred,Man Utd,69,5.00
MID,Hendrick,Newcastle,52,5.00
MID,Murphy,Newcastle,69,5.00
MID,Stiepermann,Norwich,0,5.00
MID,McLean,Norwich,0,5.00
MID,Martin,Norwich,0,5.00
MID,Tella,Southampton,36,5.00
MID,Højbjerg,Spurs,107,5.00
MID,Cleverley,Watford,0,5.00
MID,Chalobah,Watford,0,5.00
MID,Hughes,Watford,0,5.00
MID,Rice,West Ham,86,5.00
MID,Moutinho,Wolves,73,5.00
MID,Dendoncker,Wolves,77,5.00
MID,Fernandinho,Man City,65,5.00
MID,Mata,Man Utd,32,5.00
MID,Elneny,Arsenal,50,4.50
MID,Torreira,Arsenal,0,4.50
MID,Guendouzi,Arsenal,0,4.50
MID,Nakamba,Aston Villa,27,4.50
MID,Douglas Luiz,Aston Villa,72,4.50
MID,Ramsey,Aston Villa,28,4.50
MID,Pröpper,Brighton,9,4.50
MID,Bissouma,Brighton,77,4.50
MID,Moder,Brighton,21,4.50
MID,Cork,Burnley,33,4.50
MID,Brownhill,Burnley,74,4.50
MID,Benson,Burnley,10,4.50
MID,Gilmour,Norwich,8,4.50
MID,McArthur,Crystal Palace,45,4.50
MID,Delph,Everton,8,4.50
MID,Allan,Everton,47,4.50
MID,Shackleton,Leeds,17,4.50
MID,Choudhury,Leicester,14,4.50
MID,Matic,Man Utd,36,4.50
MID,Hayden,Newcastle,40,4.50
MID,Rupp,Norwich,0,4.50
MID,Romeu,Southampton,52,4.50
MID,Smallbone,Southampton,5,4.50
MID,Diallo,Southampton,31,4.50
MID,Sissoko,Spurs,44,4.50
MID,Winks,Spurs,19,4.50
MID,Skipp,Spurs,0,4.50
MID,Quina,Watford,0,4.50
MID,Noble,West Ham,27,4.50
MID,Gibbs-White,Wolves,22,4.50
MID,Otasowie,Wolves,9,4.50
FW,Kane,Spurs,242,12.50
FW,Vardy,Leicester,187,10.50
FW,Aubameyang,Arsenal,131,10.00
FW,Werner,Chelsea,128,9.00
FW,Firmino,Liverpool,141,9.00
FW,Lacazette,Arsenal,129,8.50
FW,Jesus,Man City,115,8.50
FW,Cavani,Man Utd,99,8.50
FW,Calvert-Lewin,Everton,165,8.00
FW,Bamford,Leeds,194,8.00
FW,Martial,Man Utd,75,8.00
FW,Ings,Southampton,131,8.00
FW,Watkins,Aston Villa,168,7.50
FW,Richarlison,Everton,123,7.50
FW,Iheanacho,Leicester,110,7.50
FW,Wilson,Newcastle,134,7.50
FW,Antonio,West Ham,118,7.50
FW,Jiménez,Wolves,43,7.50
FW,Wood,Burnley,138,7.00
FW,Adams,Southampton,137,7.00
FW,Maupay,Brighton,105,6.50
FW,Giroud,Chelsea,47,6.50
FW,Abraham,Chelsea,69,6.50
FW,Benteke,Crystal Palace,106,6.50
FW,Rodrigo,Leeds,89,6.50
FW,Saint-Maximin,Newcastle,85,6.50
FW,Ayew,Crystal Palace,70,6.00
FW,Joelinton,Newcastle,74,6.00
FW,Pukki,Norwich,0,6.00
FW,Fabio Silva,Wolves,72,6.00
